,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Region,Institution Type,Enrolled Students,Faculty,Ratio,Year
,Ilocos Region ,Private,240,25,1:10,2019
,Ilocos Region ,Private,3355,150,1:22,2019
,Ilocos Region ,Private,290,9,1:32,2019
,Ilocos Region ,Private,160,25,1:6,2019
,Ilocos Region ,Private,430,38,1:11,2019
,Ilocos Region ,Private,377,19,1:20,2019
,Ilocos Region ,Private,37,14,1:3,2019
,Ilocos Region ,Private,102,41,1:2,2019
,Ilocos Region ,Private,214,17,1:13,2019
,Ilocos Region ,Private,90,14,1:6,2019
,Ilocos Region ,Private,73,13,1:6,2019
,Ilocos Region ,Private,43,9,1:5,2019
,Ilocos Region ,Private,152,12,1:13,2019
,Ilocos Region ,Private,527,27,1:20,2019
,Ilocos Region ,Private,596,44,1:14,2019
,Ilocos Region ,Private,433,45,1:10,2019
,Ilocos Region ,Private,5718,176,1:32,2019
,Ilocos Region ,Private,7784,208,1:37,2019
,Ilocos Region ,Private,2198,291,1:8,2019
,Ilocos Region ,Private,467,44,1:11,2019
,Cagayan Valley ,Private,1212,76,1:16,2019
,Cagayan Valley ,Private,171,12,1:14,2019
,Cagayan Valley ,Private,116,6,1:19,2019
,Cagayan Valley ,Private,379,34,1:11,2019
,Cagayan Valley ,Private,405,10,1:41,2019
,Cagayan Valley ,Private,1264,63,1:20,2019
,Cagayan Valley ,Private,82,13,1:6,2019
,Cagayan Valley ,Private,695,31,1:22,2019
,Cagayan Valley ,Private,53,15,1:4,2019
,Cagayan Valley ,Private,1078,59,1:18,2019
,Cagayan Valley ,Private,704,31,1:23,2019
,Cagayan Valley ,Private,1678,24,1:70,2019
,Cagayan Valley ,Private,16,17,1:1,2019
,Cagayan Valley ,Private,897,37,1:24,2019
,Cagayan Valley ,Private,141,23,1:6,2019
,Cagayan Valley ,Private,1434,63,1:23,2019
,Cagayan Valley ,Private,211,17,1:12,2019
,Cagayan Valley ,Private,505,28,1:18,2019
,Cagayan Valley ,Private,1442,75,1:19,2019
,Cagayan Valley ,Private,134,15,1:9,2019
,Cagayan Valley ,Private,58,16,1:4,2019
,Cagayan Valley ,Private,3314,82,1:40,2019
,Cagayan Valley ,Private,107,16,1:7,2019
,Cagayan Valley ,Private,1106,87,1:13,2019
,Cagayan Valley ,Private,241,22,1:11,2019
,Cagayan Valley ,Private,561,50,1:11,2019
,Cagayan Valley ,Private,96,12,1:8,2019
,Cagayan Valley ,Private,1511,70,1:22,2019
,Cagayan Valley ,Private,52,11,1:5,2019
,Cagayan Valley ,Private,73,17,1:4,2019
,Cagayan Valley ,Private,212,28,1:8,2019
,Cagayan Valley ,Private,383,25,1:15,2019
,Cagayan Valley ,Private,501,33,1:15,2019
,Cagayan Valley ,Private,3330,215,1:15,2019
,Cagayan Valley ,Private,4311,122,1:35,2019
,Cagayan Valley ,Private,111,12,1:9,2019
,Cagayan Valley ,Private,56,13,1:4,2019
,Cagayan Valley ,Private,39,16,1:2,2019
,Cagayan Valley ,Private,1239,89,1:14,2019
,Cagayan Valley ,Private,50,8,1:6,2019
,Cagayan Valley ,Private,7343,260,1:28,2019
,Cagayan Valley ,Private,2748,161,1:17,2019
,Cagayan Valley ,Private,1168,53,1:22,2019
,Cagayan Valley ,Private,3650,169,1:22,2019
,Central Luzon,Private,75,5,1:15,2019
,Central Luzon,Private,152,10,1:15,2019
,Central Luzon,Private,454,25,1:18,2019
,Central Luzon,Private,312,17,1:18,2019
,Central Luzon,Private,236,21,1:11,2019
,Central Luzon,Private,182,10,1:18,2019
,Central Luzon,Private,250,11,1:23,2019
,Central Luzon,Private,97,13,1:7,2019
,Central Luzon,Private,497,19,1:26,2019
,Central Luzon,Private,225,17,1:13,2019
,Central Luzon,Private,300,24,1:13,2019
,Central Luzon,Private,171,10,1:17,2019
,Central Luzon,Private,148,10,1:15,2019
,Central Luzon,Private,179,11,1:16,2019
,Central Luzon,Private,153,8,1:19,2019
,Central Luzon,Private,191,5,1:38,2019
,Central Luzon,Private,208,5,1:42,2019
,Central Luzon,Private,148,19,1:8,2019
,Central Luzon,Private,4985,431,1:12,2019
,Central Luzon,Private,7054,174,1:41,2019
,Central Luzon,Private,1107,51,1:22,2019
,Central Luzon,Private,41,5,1:8,2019
,Central Luzon,Private,65,14,1:5,2019
,Central Luzon,Private,2103,118,1:18,2019
,Central Luzon,Private,403,22,1:18,2019
,Central Luzon,Private,1298,42,1:31,2019
,Central Luzon,Private,629,29,1:22,2019
,Central Luzon,Private,237,14,1:17,2019
,Central Luzon,Private,152,39,1:4,2019
,Central Luzon,Private,591,24,1:25,2019
,Central Luzon,Private,775,18,1:43,2019
,Central Luzon,Private,929,56,1:17,2019
,Central Luzon,Private,150,11,1:14,2019
,Central Luzon,Private,1370,67,1:20,2019
,Central Luzon,Private,853,43,1:20,2019
,Central Luzon,Private,151,14,1:11,2019
,Central Luzon,Private,85,15,1:6,2019
,Central Luzon,Private,2626,10,1:263,2019
,Central Luzon,Private,212,25,1:8,2019
,Central Luzon,Private,55,13,1:4,2019
,Central Luzon,Private,587,47,1:12,2019
,Central Luzon,Private,2090,45,1:46,2019
,Central Luzon,Private,613,23,1:27,2019
,Central Luzon,Private,220,33,1:7,2019
,Central Luzon,Private,416,22,1:19,2019
,Central Luzon,Private,265,25,1:11,2019
,Central Luzon,Private,73,22,1:3,2019
,Central Luzon,Private,170,22,1:8,2019
,Central Luzon,Private,1557,57,1:27,2019
,Central Luzon,Private,41,4,1:10,2019
,Central Luzon,Private,388,42,1:9,2019
,Central Luzon,Private,28,11,1:3,2019
,Central Luzon,Private,1901,138,1:14,2019
,Central Luzon,Private,110,17,1:6,2019
,Central Luzon,Private,175,27,1:6,2019
,Central Luzon,Private,617,22,1:28,2019
,Central Luzon,Private,1437,30,1:48,2019
,Central Luzon,Private,198,17,1:12,2019
,Central Luzon,Private,903,56,1:16,2019
,Central Luzon,Private,2111,74,1:29,2019
,Central Luzon,Private,355,25,1:14,2019
,Central Luzon,Private,2289,117,1:20,2019
,Central Luzon,Private,520,17,1:31,2019
,Central Luzon,Private,18,6,1:3,2019
,Central Luzon,Private,75,4,1:19,2019
,Central Luzon,Private,52,10,1:5,2019
,Central Luzon,Private,251,14,1:18,2019
,Central Luzon,Private,1067,50,1:21,2019
,Central Luzon,Private,884,42,1:21,2019
,Central Luzon,Private,106,15,1:7,2019
,Central Luzon,Private,600,39,1:15,2019
,Central Luzon,Private,51,11,1:5,2019
,Central Luzon,Private,18,6,1:3,2019
,Central Luzon,Private,24,10,1:2,2019
,Central Luzon,Private,712,50,1:14,2019
,Central Luzon,Private,7597,451,1:17,2019
,Central Luzon,Private,270,17,1:16,2019
,Central Luzon,Private,452,51,1:9,2019
,Central Luzon,Private,1345,47,1:29,2019
,Central Luzon,Private,199,36,1:6,2019
,Central Luzon,Private,295,32,1:9,2019
,Central Luzon,Private,359,23,1:16,2019
,Central Luzon,Private,193,37,1:5,2019
,Central Luzon,Private,354,15,1:24,2019
,Central Luzon,Private,366,35,1:10,2019
,Central Luzon,Private,2468,62,1:40,2019
,Central Luzon,Private,5676,48,1:118,2019
,Central Luzon,Private,126,30,1:4,2019
,Central Luzon,Private,428,32,1:13,2019
,Central Luzon,Private,40,20,1:2,2019
,Central Luzon,Private,143,20,1:7,2019
,Central Luzon,Private,946,57,1:17,2019
,Central Luzon,Private,361,36,1:10,2019
,Central Luzon,Private,273,14,1:20,2019
,Central Luzon,Private,255,22,1:12,2019
,Central Luzon,Private,505,45,1:11,2019
,Central Luzon,Private,16,16,1:1,2019
,Central Luzon,Private,126,25,1:5,2019
,Central Luzon,Private,1672,100,1:17,2019
,Central Luzon,Private,1205,88,1:14,2019
,Central Luzon,Private,50,41,1:1,2019
,Central Luzon,Private,218,13,1:17,2019
,Central Luzon,Private,35,25,1:1,2019
,Central Luzon,Private,1068,60,1:18,2019
,Central Luzon,Private,230,17,1:14,2019
,Central Luzon,Private,51,15,1:3,2019
,Central Luzon,Private,15,17,1:1,2019
,Central Luzon,Private,1448,37,1:39,2019
,Central Luzon,Private,986,52,1:19,2019
,Central Luzon,Private,73,36,1:2,2019
,Central Luzon,Private,329,30,1:11,2019
,Central Luzon,Private,894,50,1:18,2019
,Central Luzon,Private,43,27,1:2,2019
,Central Luzon,Private,205,17,1:12,2019
,Central Luzon,Private,138,18,1:8,2019
,Central Luzon,Private,594,41,1:14,2019
,Central Luzon,Private,778,43,1:18,2019
,Central Luzon,Private,763,23,1:33,2019
,Central Luzon,Private,4515,146,1:31,2019
,Central Luzon,Private,167,7,1:24,2019
,Central Luzon,Private,24,19,1:1,2019
,Central Luzon,Private,358,38,1:9,2019
,Central Luzon,Private,1352,49,1:28,2019
,Central Luzon,Private,136,22,1:6,2019
,Central Luzon,Private,307,24,1:13,2019
,Central Luzon,Private,275,19,1:14,2019
,Central Luzon,Private,9,3,1:3,2019
,Central Luzon,Private,403,40,1:10,2019
,Central Luzon,Private,50,18,1:3,2019
,Central Luzon,Private,10,11,1:1,2019
,Central Luzon,Private,733,22,1:33,2019
,Central Luzon,Private,229,12,1:19,2019
,Central Luzon,Private,503,37,1:14,2019
